date,time,seconds,frame
20160522,110931,1463929771.96,175
20160522,110931,1463929771.99,176
20160522,110932,1463929772.02,177
20160522,110932,1463929772.05,178
20160522,110932,1463929772.08,179
20160522,110932,1463929772.11,180
20160522,110932,1463929772.14,181
20160522,110932,1463929772.18,182
20160522,110932,1463929772.21,183
20160522,110932,1463929772.24,184
20160522,110932,1463929772.27,185
20160522,110932,1463929772.3,186
20160522,110932,1463929772.33,187
20160522,110932,1463929772.36,188
20160522,110932,1463929772.39,189
20160522,110932,1463929772.42,190
20160522,110932,1463929772.45,191
20160522,110932,1463929772.49,192
20160522,110932,1463929772.52,193
20160522,110932,1463929772.55,194
20160522,110932,1463929772.58,195
20160522,110932,1463929772.61,196
20160522,110932,1463929772.64,197
20160522,110932,1463929772.67,198
20160522,110932,1463929772.7,199
20160522,110932,1463929772.73,200
20160522,110932,1463929772.76,201
20160522,110932,1463929772.8,202
20160522,110932,1463929772.83,203
20160522,110932,1463929772.86,204
20160522,110932,1463929772.89,205
20160522,110932,1463929772.92,206
20160522,110932,1463929772.95,207
20160522,110932,1463929772.98,208
20160522,110933,1463929773.01,209
20160522,110933,1463929773.04,210
20160522,110933,1463929773.07,211
20160522,110933,1463929773.11,212
20160522,110933,1463929773.14,213
20160522,110933,1463929773.17,214
20160522,110933,1463929773.2,215
20160522,110933,1463929773.23,216
20160522,110933,1463929773.26,217
20160522,110933,1463929773.29,218
20160522,110933,1463929773.32,219
20160522,110933,1463929773.35,220
20160522,110933,1463929773.38,221
20160522,110933,1463929773.42,222
20160522,110933,1463929773.45,223
20160522,110933,1463929773.48,224
20160522,110933,1463929773.51,225
20160522,110933,1463929773.54,226
20160522,110933,1463929773.57,227
20160522,110933,1463929773.6,228
20160522,110933,1463929773.63,229
20160522,110933,1463929773.66,230
20160522,110933,1463929773.69,231
20160522,110933,1463929773.73,232
20160522,110933,1463929773.76,233
20160522,110933,1463929773.79,234
20160522,110933,1463929773.82,235
20160522,110933,1463929773.85,236
20160522,110933,1463929773.88,237
20160522,110933,1463929773.91,238
20160522,110933,1463929773.94,239
20160522,110933,1463929773.97,240
20160522,110934,1463929774.0,241
20160522,110934,1463929774.04,242
20160522,110934,1463929774.07,243
20160522,110934,1463929774.1,244
20160522,110934,1463929774.13,245
20160522,110934,1463929774.16,246
20160522,110934,1463929774.19,247
20160522,110934,1463929774.22,248
20160522,110934,1463929774.25,249
20160522,110934,1463929774.28,250
20160522,110934,1463929774.31,251
20160522,110934,1463929774.35,252
20160522,110934,1463929774.38,253
20160522,110934,1463929774.41,254
20160522,110934,1463929774.44,255
20160522,110934,1463929774.47,256
20160522,110934,1463929774.5,257
20160522,110934,1463929774.53,258
20160522,110934,1463929774.56,259
20160522,110934,1463929774.59,260
20160522,110934,1463929774.62,261
20160522,110934,1463929774.66,262
20160522,110934,1463929774.69,263
20160522,110934,1463929774.72,264
20160522,110934,1463929774.75,265
20160522,110934,1463929774.78,266
20160522,110934,1463929774.81,267
20160522,110934,1463929774.84,268
20160522,110934,1463929774.87,269
20160522,110934,1463929774.9,270
20160522,110934,1463929774.93,271
20160522,110934,1463929774.97,272
20160522,110934,1463929775.0,273
20160522,110935,1463929775.03,274
20160522,110935,1463929775.06,275
20160522,110935,1463929775.09,276
20160522,110935,1463929775.12,277
20160522,110935,1463929775.15,278
20160522,110935,1463929775.18,279
20160522,110935,1463929775.21,280
20160522,110935,1463929775.24,281
20160522,110935,1463929775.28,282
20160522,110935,1463929775.31,283
20160522,110935,1463929775.34,284
20160522,110935,1463929775.37,285
20160522,110935,1463929775.4,286
