seconds,frame
20160520_074039,1463744439.26,200
20160520_074039,1463744439.3,201
20160520_074039,1463744439.33,202
20160520_074039,1463744439.36,203
20160520_074039,1463744439.39,204
20160520_074039,1463744439.42,205
20160520_074039,1463744439.45,206
20160520_074039,1463744439.48,207
20160520_074039,1463744439.51,208
20160520_074039,1463744439.54,209
20160520_074039,1463744439.57,210
20160520_074039,1463744439.61,211
20160520_074039,1463744439.64,212
20160520_074039,1463744439.67,213
20160520_074039,1463744439.7,214
20160520_074039,1463744439.73,215
20160520_074039,1463744439.76,216
20160520_074039,1463744439.79,217
20160520_074039,1463744439.82,218
20160520_074039,1463744439.85,219
20160520_074039,1463744439.88,220
20160520_074039,1463744439.92,221
20160520_074039,1463744439.95,222
20160520_074039,1463744439.98,223
20160520_074040,1463744440.01,224
20160520_074040,1463744440.04,225
20160520_074040,1463744440.07,226
20160520_074040,1463744440.1,227
20160520_074040,1463744440.13,228
20160520_074040,1463744440.16,229
20160520_074040,1463744440.19,230
20160520_074040,1463744440.23,231
20160520_074040,1463744440.26,232
20160520_074040,1463744440.29,233
20160520_074040,1463744440.32,234
20160520_074040,1463744440.35,235
20160520_074040,1463744440.38,236
20160520_074040,1463744440.41,237
20160520_074040,1463744440.44,238
20160520_074040,1463744440.47,239
20160520_074040,1463744440.5,240
20160520_074040,1463744440.54,241
20160520_074040,1463744440.57,242
20160520_074040,1463744440.6,243
20160520_074040,1463744440.63,244
20160520_074040,1463744440.66,245
20160520_074040,1463744440.69,246
20160520_074040,1463744440.72,247
20160520_074040,1463744440.75,248
20160520_074040,1463744440.78,249
20160520_074040,1463744440.81,250
20160520_074040,1463744440.85,251
20160520_074040,1463744440.88,252
20160520_074040,1463744440.91,253
20160520_074040,1463744440.94,254
20160520_074040,1463744440.97,255
20160520_074041,1463744441.0,256
20160520_074041,1463744441.03,257
20160520_074041,1463744441.06,258
20160520_074041,1463744441.09,259
20160520_074041,1463744441.12,260
20160520_074041,1463744441.16,261
20160520_074041,1463744441.19,262
20160520_074041,1463744441.22,263
20160520_074041,1463744441.25,264
20160520_074041,1463744441.28,265
20160520_074041,1463744441.31,266
20160520_074041,1463744441.34,267
20160520_074041,1463744441.37,268
20160520_074041,1463744441.4,269
20160520_074041,1463744441.43,270
20160520_074041,1463744441.47,271
20160520_074041,1463744441.5,272
20160520_074041,1463744441.53,273
20160520_074041,1463744441.56,274
20160520_074041,1463744441.59,275
20160520_074041,1463744441.62,276
20160520_074041,1463744441.65,277
20160520_074041,1463744441.68,278
20160520_074041,1463744441.71,279
20160520_074041,1463744441.74,280
20160520_074041,1463744441.78,281
20160520_074041,1463744441.81,282
20160520_074041,1463744441.84,283
20160520_074041,1463744441.87,284
20160520_074041,1463744441.9,285
20160520_074041,1463744441.93,286
20160520_074041,1463744441.96,287
20160520_074041,1463744441.99,288
20160520_074042,1463744442.02,289
20160520_074042,1463744442.05,290
20160520_074042,1463744442.09,291
20160520_074042,1463744442.12,292
20160520_074042,1463744442.15,293
20160520_074042,1463744442.18,294
20160520_074042,1463744442.21,295
20160520_074042,1463744442.24,296
20160520_074042,1463744442.27,297
20160520_074042,1463744442.3,298
20160520_074042,1463744442.33,299
20160520_074042,1463744442.36,300
20160520_074042,1463744442.4,301
20160520_074042,1463744442.43,302
20160520_074042,1463744442.46,303
20160520_074042,1463744442.49,304
20160520_074042,1463744442.52,305
20160520_074042,1463744442.55,306
