seconds,frame
20160520_071624,1463742984.49,1
20160520_071624,1463742984.52,2
20160520_071624,1463742984.55,3
20160520_071624,1463742984.58,4
20160520_071624,1463742984.62,5
20160520_071624,1463742984.65,6
20160520_071624,1463742984.68,7
20160520_071624,1463742984.71,8
20160520_071624,1463742984.74,9
20160520_071624,1463742984.77,10
20160520_071624,1463742984.8,11
20160520_071624,1463742984.83,12
20160520_071624,1463742984.86,13
20160520_071624,1463742984.89,14
20160520_071624,1463742984.93,15
20160520_071624,1463742984.96,16
20160520_071624,1463742984.99,17
20160520_071625,1463742985.02,18
20160520_071625,1463742985.05,19
20160520_071625,1463742985.08,20
20160520_071625,1463742985.11,21
20160520_071625,1463742985.14,22
20160520_071625,1463742985.17,23
20160520_071625,1463742985.2,24
20160520_071625,1463742985.24,25
20160520_071625,1463742985.27,26
20160520_071625,1463742985.3,27
20160520_071625,1463742985.33,28
20160520_071625,1463742985.36,29
20160520_071625,1463742985.39,30
20160520_071625,1463742985.42,31
20160520_071625,1463742985.45,32
20160520_071625,1463742985.48,33
20160520_071625,1463742985.51,34
20160520_071625,1463742985.55,35
20160520_071625,1463742985.58,36
20160520_071625,1463742985.61,37
20160520_071625,1463742985.64,38
20160520_071625,1463742985.67,39
20160520_071625,1463742985.7,40
20160520_071625,1463742985.73,41
20160520_071625,1463742985.76,42
20160520_071625,1463742985.79,43
20160520_071625,1463742985.82,44
20160520_071625,1463742985.86,45
20160520_071625,1463742985.89,46
20160520_071625,1463742985.92,47
20160520_071625,1463742985.95,48
20160520_071625,1463742985.98,49
20160520_071626,1463742986.01,50
20160520_071626,1463742986.04,51
20160520_071626,1463742986.07,52
20160520_071626,1463742986.1,53
20160520_071626,1463742986.13,54
20160520_071626,1463742986.17,55
20160520_071626,1463742986.2,56
20160520_071626,1463742986.23,57
20160520_071626,1463742986.26,58
20160520_071626,1463742986.29,59
20160520_071626,1463742986.32,60
20160520_071626,1463742986.35,61
20160520_071626,1463742986.38,62
20160520_071626,1463742986.41,63
20160520_071626,1463742986.44,64
20160520_071626,1463742986.48,65
20160520_071626,1463742986.51,66
20160520_071626,1463742986.54,67
20160520_071626,1463742986.57,68
20160520_071626,1463742986.6,69
20160520_071626,1463742986.63,70
20160520_071626,1463742986.66,71
20160520_071626,1463742986.69,72
20160520_071626,1463742986.72,73
20160520_071626,1463742986.75,74
20160520_071626,1463742986.79,75
20160520_071626,1463742986.82,76
20160520_071626,1463742986.85,77
20160520_071626,1463742986.88,78
20160520_071626,1463742986.91,79
20160520_071626,1463742986.94,80
20160520_071626,1463742986.97,81
20160520_071627,1463742987.0,82
20160520_071627,1463742987.03,83
20160520_071627,1463742987.06,84
20160520_071627,1463742987.1,85
20160520_071627,1463742987.13,86
20160520_071627,1463742987.16,87
20160520_071627,1463742987.19,88
20160520_071627,1463742987.22,89
20160520_071627,1463742987.25,90
20160520_071627,1463742987.28,91
20160520_071627,1463742987.31,92
20160520_071627,1463742987.34,93
20160520_071627,1463742987.37,94
20160520_071627,1463742987.41,95
20160520_071627,1463742987.44,96
20160520_071627,1463742987.47,97
20160520_071627,1463742987.5,98
20160520_071627,1463742987.53,99
20160520_071627,1463742987.56,100
20160520_071627,1463742987.59,101
20160520_071627,1463742987.62,102
20160520_071627,1463742987.65,103
20160520_071627,1463742987.68,104
20160520_071627,1463742987.72,105
20160520_071627,1463742987.75,106
20160520_071627,1463742987.78,107
20160520_071627,1463742987.81,108
20160520_071627,1463742987.84,109
20160520_071627,1463742987.87,110
20160520_071627,1463742987.9,111
20160520_071627,1463742987.93,112
20160520_071627,1463742987.96,113
20160520_071627,1463742987.99,114
20160520_071628,1463742988.03,115
20160520_071628,1463742988.06,116
20160520_071628,1463742988.09,117
20160520_071628,1463742988.12,118
