seconds,frame
1463710703.19,355
1463710703.22,356
1463710703.25,357
1463710703.28,358
1463710703.31,359
1463710703.34,360
1463710703.37,361
1463710703.41,362
1463710703.44,363
1463710703.47,364
1463710703.5,365
1463710703.53,366
1463710703.56,367
1463710703.59,368
1463710703.62,369
1463710703.65,370
1463710703.68,371
1463710703.72,372
1463710703.75,373
1463710703.78,374
1463710703.81,375
1463710703.84,376
1463710703.87,377
1463710703.9,378
1463710703.93,379
1463710703.96,380
1463710703.99,381
1463710704.03,382
1463710704.06,383
1463710704.09,384
1463710704.12,385
1463710704.15,386
1463710704.18,387
1463710704.21,388
1463710704.24,389
1463710704.27,390
1463710704.3,391
1463710704.34,392
1463710704.37,393
1463710704.4,394
1463710704.43,395
1463710704.46,396
1463710704.49,397
1463710704.52,398
1463710704.55,399
1463710704.58,400
1463710704.61,401
1463710704.65,402
1463710704.68,403
1463710704.71,404
1463710704.74,405
1463710704.77,406
1463710704.8,407
1463710704.83,408
1463710704.86,409
1463710704.89,410
1463710704.92,411
1463710704.96,412
1463710704.99,413
1463710705.02,414
1463710705.05,415
1463710705.08,416
1463710705.11,417
1463710705.14,418
1463710705.17,419
1463710705.2,420
1463710705.23,421
1463710705.27,422
1463710705.3,423
1463710705.33,424
1463710705.36,425
1463710705.39,426
1463710705.42,427
1463710705.45,428
1463710705.48,429
1463710705.51,430
1463710705.54,431
1463710705.58,432
1463710705.61,433
1463710705.64,434
1463710705.67,435
1463710705.7,436
1463710705.73,437
1463710705.76,438
1463710705.79,439
1463710705.82,440
1463710705.85,441
1463710705.89,442
1463710705.92,443
1463710705.95,444
1463710705.98,445
1463710706.01,446
1463710706.04,447
1463710706.07,448
1463710706.1,449
1463710706.13,450
1463710706.16,451
1463710706.2,452
1463710706.23,453
1463710706.26,454
1463710706.29,455
1463710706.32,456
1463710706.35,457
1463710706.38,458
1463710706.41,459
1463710706.44,460
1463710706.47,461
1463710706.51,462
1463710706.54,463
1463710706.57,464
1463710706.6,465
1463710706.63,466
1463710706.66,467
1463710706.69,468
1463710706.72,469
1463710706.75,470
1463710706.78,471
1463710706.82,472
1463710706.85,473
1463710706.88,474
1463710706.91,475
1463710706.94,476
1463710706.97,477
1463710707.0,478
1463710707.03,479
1463710707.06,480
1463710707.09,481
1463710707.13,482
1463710707.16,483
1463710707.19,484
1463710707.22,485
1463710707.25,486
1463710707.28,487
1463710707.31,488
1463710707.34,489
1463710707.37,490
1463710707.4,491
1463710707.44,492
1463710707.47,493
1463710707.5,494
1463710707.53,495
1463710707.56,496
1463710707.59,497
1463710707.62,498
1463710707.65,499
1463710707.68,500
1463710707.71,501
1463710707.75,502
1463710707.78,503
1463710707.81,504
1463710707.84,505
1463710707.87,506
1463710707.9,507
1463710707.93,508
1463710707.96,509
1463710707.99,510
1463710708.02,511
1463710708.06,512
1463710708.09,513
1463710708.12,514
1463710708.15,515
1463710708.18,516
1463710708.21,517
1463710708.24,518
1463710708.27,519
1463710708.3,520
1463710708.33,521
1463710708.37,522
1463710708.4,523
1463710708.43,524
1463710708.46,525
1463710708.49,526
1463710708.52,527
1463710708.55,528
1463710708.58,529
1463710708.61,530
1463710708.64,531
1463710708.68,532
1463710708.71,533
1463710708.74,534
1463710708.77,535
1463710708.8,536
1463710708.83,537
1463710708.86,538
1463710708.89,539
1463710708.92,540
1463710708.95,541
1463710708.99,542
1463710709.02,543
1463710709.05,544
1463710709.08,545
1463710709.11,546
1463710709.14,547
1463710709.17,548
1463710709.2,549
1463710709.23,550
1463710709.26,551
1463710709.3,552
1463710709.33,553
1463710709.36,554
1463710709.39,555
1463710709.42,556
1463710709.45,557
1463710709.48,558
1463710709.51,559
1463710709.54,560
1463710709.57,561
1463710709.61,562
1463710709.64,563
1463710709.67,564
1463710709.7,565
1463710709.73,566
1463710709.76,567
1463710709.79,568
1463710709.82,569
1463710709.85,570
1463710709.88,571
1463710709.92,572
1463710709.95,573
1463710709.98,574
1463710710.01,575
1463710710.04,576
1463710710.07,577
1463710710.1,578
1463710710.13,579
1463710710.16,580
1463710710.19,581
1463710710.23,582
1463710710.26,583
1463710710.29,584
1463710710.32,585
1463710710.35,586
1463710710.38,587
1463710710.41,588
1463710710.44,589
1463710710.47,590
1463710710.5,591
1463710710.54,592
1463710710.57,593
1463710710.6,594
1463710710.63,595
1463710710.66,596
1463710710.69,597
1463710710.72,598
1463710710.75,599
