seconds,frame
20160520_074319,1463744599.61,1
20160520_074319,1463744599.65,2
20160520_074319,1463744599.68,3
20160520_074319,1463744599.71,4
20160520_074319,1463744599.74,5
20160520_074319,1463744599.77,6
20160520_074319,1463744599.8,7
20160520_074319,1463744599.83,8
20160520_074319,1463744599.86,9
20160520_074319,1463744599.89,10
20160520_074319,1463744599.92,11
20160520_074319,1463744599.96,12
20160520_074319,1463744599.99,13
20160520_074320,1463744600.02,14
20160520_074320,1463744600.05,15
20160520_074320,1463744600.08,16
20160520_074320,1463744600.11,17
20160520_074320,1463744600.14,18
20160520_074320,1463744600.17,19
20160520_074320,1463744600.21,20
20160520_074320,1463744600.24,21
20160520_074320,1463744600.27,22
20160520_074320,1463744600.3,23
20160520_074320,1463744600.33,24
20160520_074320,1463744600.36,25
20160520_074320,1463744600.39,26
20160520_074320,1463744600.42,27
20160520_074320,1463744600.45,28
20160520_074320,1463744600.48,29
20160520_074320,1463744600.51,30
20160520_074320,1463744600.55,31
20160520_074320,1463744600.58,32
20160520_074320,1463744600.61,33
20160520_074320,1463744600.64,34
20160520_074320,1463744600.67,35
20160520_074320,1463744600.7,36
20160520_074320,1463744600.73,37
20160520_074320,1463744600.76,38
20160520_074320,1463744600.79,39
20160520_074320,1463744600.82,40
20160520_074320,1463744600.86,41
20160520_074320,1463744600.89,42
20160520_074320,1463744600.92,43
20160520_074320,1463744600.95,44
20160520_074320,1463744600.98,45
20160520_074321,1463744601.01,46
20160520_074321,1463744601.04,47
20160520_074321,1463744601.13,48
20160520_074321,1463744601.13,49
20160520_074321,1463744601.16,50
20160520_074321,1463744601.2,51
20160520_074321,1463744601.23,52
20160520_074321,1463744601.26,53
20160520_074321,1463744601.29,54
20160520_074321,1463744601.32,55
20160520_074321,1463744601.35,56
20160520_074321,1463744601.38,57
20160520_074321,1463744601.41,58
20160520_074321,1463744601.44,59
20160520_074321,1463744601.47,60
20160520_074321,1463744601.51,61
20160520_074321,1463744601.54,62
20160520_074321,1463744601.57,63
20160520_074321,1463744601.6,64
20160520_074321,1463744601.63,65
20160520_074321,1463744601.66,66
20160520_074321,1463744601.69,67
20160520_074321,1463744601.72,68
20160520_074321,1463744601.75,69
20160520_074321,1463744601.79,70
20160520_074321,1463744601.82,71
20160520_074321,1463744601.85,72
20160520_074321,1463744601.88,73
20160520_074321,1463744601.91,74
20160520_074321,1463744601.94,75
20160520_074321,1463744601.97,76
20160520_074322,1463744602.0,77
20160520_074322,1463744602.03,78
20160520_074322,1463744602.06,79
20160520_074322,1463744602.09,80
20160520_074322,1463744602.13,81
20160520_074322,1463744602.16,82
20160520_074322,1463744602.19,83
20160520_074322,1463744602.22,84
20160520_074322,1463744602.25,85
20160520_074322,1463744602.28,86
20160520_074322,1463744602.31,87
20160520_074322,1463744602.34,88
20160520_074322,1463744602.37,89
20160520_074322,1463744602.4,90
20160520_074322,1463744602.44,91
20160520_074322,1463744602.47,92
20160520_074322,1463744602.5,93
20160520_074322,1463744602.53,94
20160520_074322,1463744602.56,95
20160520_074322,1463744602.59,96
20160520_074322,1463744602.62,97
20160520_074322,1463744602.65,98
20160520_074322,1463744602.68,99
20160520_074322,1463744602.72,100
20160520_074322,1463744602.75,101
20160520_074322,1463744602.78,102
20160520_074322,1463744602.81,103
20160520_074322,1463744602.84,104
20160520_074322,1463744602.87,105
20160520_074322,1463744602.9,106
20160520_074322,1463744602.93,107
20160520_074322,1463744602.96,108
20160520_074322,1463744602.99,109
20160520_074323,1463744603.03,110
20160520_074323,1463744603.06,111
20160520_074323,1463744603.09,112
20160520_074323,1463744603.12,113
20160520_074323,1463744603.15,114
20160520_074323,1463744603.18,115
20160520_074323,1463744603.21,116
20160520_074323,1463744603.24,117
20160520_074323,1463744603.27,118
20160520_074323,1463744603.3,119
20160520_074323,1463744603.34,120
20160520_074323,1463744603.37,121
20160520_074323,1463744603.4,122
20160520_074323,1463744603.43,123
20160520_074323,1463744603.46,124
20160520_074323,1463744603.49,125
20160520_074323,1463744603.52,126
20160520_074323,1463744603.55,127
20160520_074323,1463744603.58,128
20160520_074323,1463744603.61,129
20160520_074323,1463744603.65,130
20160520_074323,1463744603.68,131
20160520_074323,1463744603.71,132
20160520_074323,1463744603.74,133
20160520_074323,1463744603.77,134
20160520_074323,1463744603.8,135
20160520_074323,1463744603.83,136
20160520_074323,1463744603.86,137
20160520_074323,1463744603.89,138
20160520_074323,1463744603.92,139
20160520_074323,1463744603.96,140
20160520_074323,1463744603.99,141
20160520_074324,1463744604.02,142
20160520_074324,1463744604.05,143
20160520_074324,1463744604.08,144
20160520_074324,1463744604.11,145
20160520_074324,1463744604.14,146
20160520_074324,1463744604.17,147
20160520_074324,1463744604.2,148
